id	BioSample_id	BioSampleAccession	BioSampleAccessionSecondary	BioSampleBioProjectAccession	BioSampleSRAAccession	BioSampleTitle	BioSampleName	BioSamplePackage	BioSampleOrganism	BioSampleOrganismAlt	BioSampleTaxonomyID	BioSampleIsolate	BioSampleCollectedBy	BioSampleCollectionDate	BioSampleGeographicLocation	BioSampleHost	BioSampleHostDisease	BioSampleHostAge	BioSampleHostAgeUnit	BioSampleHostSex	BioSampleHostAnatomicalPart	BioSamplePassageHistory	BioSampleGISAIDAccession	BioSampleGISAIDVirusName	BioSampleSequencedBy	BioSamplePurposeSampling	BioSamplePurposeSequencing	BioSampleCollectionDevice	BioSampleDiagGeneName	BioSamplePCRCtValue	BioSampleIsolationSource	BioSampleLat	BioSampleLatLon	BioSampleLon	BioSampleSubmissionDate	BioSampleModificationDate	BioSamplePublicationDate	BioSampleOrganization	BioSampleComment
1	29612585	SAMN29612585		PRJNA857067	SRS14083986	Pathogen: environmental/food/other sample from Streptococcus agalactiae	KALRO-Sagal2	Pathogen.env.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311		KALRO	2021-12-10	Kenya:Laikipia ranch	Camelus dromedarius															mastitis-infection		0.360600 N 36.782000 E		2022-07-08T16:32:14.963	2022-07-22T12:33:30.260	2022-07-08T00:00:00.000	Kenya Agricultural and Livestock Research Organisation
2	2763751	SAMEA2238181			ERS366993	11822_8#29		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			2011	Kenya	Homo sapiens															sepsis (no localising source)				2014-05-07T08:34:11.270	2021-08-21T02:29:29.000	2014-03-04T00:00:00.000	EBI
3	2763750	SAMEA2238179			ERS366991	11822_8#28		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			2010	Kenya	Homo sapiens															sterile site				2014-05-07T08:34:11.020	2021-08-21T02:29:29.000	2014-03-04T00:00:00.000	EBI
4	2763749	SAMEA2238178			ERS366990	11822_8#27		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			2010	Kenya	Homo sapiens															skin, soft tissue infection				2014-05-07T08:34:10.956	2021-08-21T02:29:29.000	2014-03-04T00:00:00.000	EBI
5	2763748	SAMEA2238176			ERS366988	11822_8#26		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			2009	Kenya	Homo sapiens															skin, soft tissue infection				2014-05-07T08:34:10.843	2021-08-21T02:29:29.000	2014-03-04T00:00:00.000	EBI
6	2763747	SAMEA2238175			ERS366987	11822_8#25		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			2009	Kenya	Homo sapiens															skin, soft tissue and Pneumonia				2014-05-07T08:34:10.713	2021-08-21T02:29:29.000	2014-03-04T00:00:00.000	EBI
7	2763745	SAMEA2238171			ERS366983	11822_8#23		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			2007	Kenya	Homo sapiens															sepsis (no localising source), stss				2014-05-07T08:34:10.543	2021-08-21T02:29:29.000	2014-03-04T00:00:00.000	EBI
8	2763743	SAMEA2238168			ERS366980	11822_8#21		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			2006	Kenya	Homo sapiens															skin, soft tissue infection				2014-05-07T08:34:10.450	2021-08-21T02:29:28.000	2014-03-04T00:00:00.000	EBI
9	2763742	SAMEA2238167			ERS366979	11822_8#20		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			2005	Kenya	Homo sapiens															skin, soft tissue infection				2014-05-07T08:34:10.400	2021-08-21T02:29:28.000	2014-03-04T00:00:00.000	EBI
10	2763741	SAMEA2238166			ERS366978	11822_8#19		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			2005	Kenya	Homo sapiens															skin, soft tissue infection				2014-05-07T08:34:10.346	2021-08-21T02:29:28.000	2014-03-04T00:00:00.000	EBI
11	2763740	SAMEA2238162			ERS366974	11822_8#18		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			2004	Kenya	Homo sapiens															sterile site				2014-05-07T08:34:10.250	2021-08-21T02:29:28.000	2014-03-04T00:00:00.000	EBI
12	2763739	SAMEA2238161			ERS366973	11822_8#17		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			2004	Kenya	Homo sapiens															Meningitis, Pneumonia				2014-05-07T08:34:10.200	2021-08-21T02:29:28.000	2014-03-04T00:00:00.000	EBI
13	2763738	SAMEA2238158			ERS366970	11822_8#16		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			2003	Kenya	Homo sapiens															skin, soft tissue and Pneumonia				2014-05-07T08:34:10.153	2021-08-21T02:29:28.000	2014-03-04T00:00:00.000	EBI
14	2763737	SAMEA2238157			ERS366969	11822_8#15		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			2003	Kenya	Homo sapiens															skin, soft tissue and Pneumonia				2014-05-07T08:34:10.100	2021-08-21T02:29:28.000	2014-03-04T00:00:00.000	EBI
15	2763736	SAMEA2238156			ERS366968	11822_8#14		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			2003	Kenya	Homo sapiens															skin, soft tissue infection				2014-05-07T08:34:10.050	2021-08-21T02:29:28.000	2014-03-04T00:00:00.000	EBI
16	2763735	SAMEA2238155			ERS366967	11822_8#13		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			2003	Kenya	Homo sapiens															skin, soft tissue infection				2014-05-07T08:34:09.980	2021-08-21T02:29:28.000	2014-03-04T00:00:00.000	EBI
17	2763734	SAMEA2238151			ERS366963	11822_8#12		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			2002	Kenya	Homo sapiens															skin, soft tissue infection				2014-05-07T08:34:09.933	2021-08-21T02:29:28.000	2014-03-04T00:00:00.000	EBI
18	2763733	SAMEA2238150			ERS366962	11822_8#11		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			2002	Kenya	Homo sapiens															skin, soft tissue infection				2014-05-07T08:34:09.886	2021-08-21T02:29:28.000	2014-03-04T00:00:00.000	EBI
19	2763732	SAMEA2238147			ERS366959	11822_8#9		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			2001	Kenya	Homo sapiens															skin, soft tissue, stss				2014-05-07T08:34:09.830	2021-08-21T02:29:28.000	2014-03-04T00:00:00.000	EBI
20	2763731	SAMEA2238146			ERS366958	11822_8#7		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			2001	Kenya	Homo sapiens															skin, soft tissue infection				2014-05-07T08:34:09.773	2021-08-21T02:29:28.000	2014-03-04T00:00:00.000	EBI
21	2763730	SAMEA2238144			ERS366956	11822_8#6		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			2001	Kenya	Homo sapiens															skin, soft tissue infection				2014-05-07T08:34:09.120	2021-08-21T02:29:28.000	2014-03-04T00:00:00.000	EBI
22	2763729	SAMEA2238143			ERS366955	11822_8#5		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			2001	Kenya	Homo sapiens															skin, soft tissue infection				2014-05-07T08:34:09.076	2021-08-21T02:29:28.000	2014-03-04T00:00:00.000	EBI
23	2763728	SAMEA2238142			ERS366954	11822_8#4		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			2001	Kenya	Homo sapiens															skin, soft tissue infection				2014-05-07T08:34:09.026	2021-08-21T02:29:28.000	2014-03-04T00:00:00.000	EBI
24	2670295	SAMEA2238182			ERS366994	11791_7#95		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			2011	Kenya	Homo sapiens															skin, soft tissue infection				2014-02-28T19:08:14.846	2021-08-21T02:29:29.000	2014-02-24T00:00:00.000	EBI
25	2670294	SAMEA2238180			ERS366992	11791_7#94		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			2011	Kenya	Homo sapiens															skin, soft tissue infection				2014-02-28T19:08:14.786	2021-08-21T02:29:29.000	2014-02-24T00:00:00.000	EBI
26	2670293	SAMEA2238177			ERS366989	11791_7#93		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			2009	Kenya	Homo sapiens															skin, soft tissue and Pneumonia				2014-02-28T19:08:14.736	2021-08-21T02:29:29.000	2014-02-24T00:00:00.000	EBI
27	2670292	SAMEA2238174			ERS366986	11791_7#92		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			2008	Kenya	Homo sapiens															skin, soft tissue infection				2014-02-28T19:08:14.686	2021-08-21T02:29:29.000	2014-02-24T00:00:00.000	EBI
28	2670291	SAMEA2238173			ERS366985	11791_7#91		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			2007	Kenya	Homo sapiens															skin, soft tissue infection				2014-02-28T19:08:14.633	2021-08-21T02:29:29.000	2014-02-24T00:00:00.000	EBI
29	2670290	SAMEA2238169			ERS366981	11791_7#90		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			2006	Kenya	Homo sapiens															skin, soft tissue and Pneumonia				2014-02-28T19:08:14.586	2021-08-21T02:29:28.000	2014-02-24T00:00:00.000	EBI
30	2670289	SAMEA2238165			ERS366977	11791_7#89		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			2005	Kenya	Homo sapiens															sepsis (no localising source)				2014-02-28T19:08:14.533	2021-08-21T02:29:28.000	2014-02-24T00:00:00.000	EBI
